method,resource,start_offset_ms,duration_ms
GET,/tpch10/lineitem/lineitem.1.parquet,1940233,686
GET,/tpch10/lineitem/lineitem.1.parquet,1940397,625
GET,/tpch10/lineitem/lineitem.1.parquet,1940255,824
GET,/tpch10/lineitem/lineitem.1.parquet,1941009,1258
GET,/tpch10/lineitem/lineitem.1.parquet,1940743,1628
GET,/tpch10/lineitem/lineitem.1.parquet,1941224,1183
GET,/tpch10/lineitem/lineitem.1.parquet,1941075,1354
GET,/tpch10/lineitem/lineitem.1.parquet,1941247,1198
GET,/tpch10/lineitem/lineitem.1.parquet,1942329,208
GET,/tpch10/lineitem/lineitem.1.parquet,1943357,748
GET,/tpch10/lineitem/lineitem.1.parquet,1943466,688
GET,/tpch10/lineitem/lineitem.1.parquet,1943391,313
GET,/tpch10/lineitem/lineitem.1.parquet,1943492,666
GET,/tpch10/lineitem/lineitem.1.parquet,1942290,2015
GET,/tpch10/lineitem/lineitem.1.parquet,1943500,1459
GET,/tpch10/lineitem/lineitem.1.parquet,1945151,149
GET,/tpch10/lineitem/lineitem.1.parquet,1945239,383
GET,/tpch10/lineitem/lineitem.1.parquet,1944938,379
GET,/tpch10/lineitem/lineitem.1.parquet,1944985,868
GET,/tpch10/lineitem/lineitem.1.parquet,1941265,4777
GET,/tpch10/lineitem/lineitem.1.parquet,1945808,246
GET,/tpch10/lineitem/lineitem.1.parquet,1945904,175
GET,/tpch10/lineitem/lineitem.1.parquet,1945918,183
GET,/tpch10/lineitem/lineitem.1.parquet,1946014,505
GET,/tpch10/lineitem/lineitem.1.parquet,1945215,904
GET,/tpch10/lineitem/lineitem.1.parquet,1945994,577
GET,/tpch10/lineitem/lineitem.1.parquet,1945902,205
GET,/tpch10/lineitem/lineitem.1.parquet,1942429,4216
GET,/tpch10/lineitem/lineitem.1.parquet,1945811,875
GET,/tpch10/lineitem/lineitem.1.parquet,1946584,152
GET,/tpch10/lineitem/lineitem.1.parquet,1946564,233
GET,/tpch10/lineitem/lineitem.1.parquet,1946600,212
GET,/tpch10/lineitem/lineitem.1.parquet,1942557,4243
GET,/tpch10/lineitem/lineitem.1.parquet,1946704,137
GET,/tpch10/lineitem/lineitem.1.parquet,1946634,438
GET,/tpch10/lineitem/lineitem.1.parquet,1946691,159
GET,/tpch10/lineitem/lineitem.1.parquet,1946802,644
GET,/tpch10/lineitem/lineitem.1.parquet,1943529,4030
GET,/tpch10/lineitem/lineitem.1.parquet,1947442,773
GET,/tpch10/lineitem/lineitem.1.parquet,1946804,1586
GET,/tpch10/lineitem/lineitem.1.parquet,1947460,971
GET,/tpch10/lineitem/lineitem.1.parquet,1948230,564
GET,/tpch10/lineitem/lineitem.1.parquet,1948237,569
GET,/tpch10/lineitem/lineitem.1.parquet,1948249,546
GET,/tpch10/lineitem/lineitem.1.parquet,1944214,5291
GET,/tpch10/lineitem/lineitem.1.parquet,1948495,1103
GET,/tpch10/lineitem/lineitem.1.parquet,1949509,227
GET,/tpch10/lineitem/lineitem.1.parquet,1945261,4488
GET,/tpch10/lineitem/lineitem.1.parquet,1949512,228
GET,/tpch10/lineitem/lineitem.1.parquet,1949553,223
GET,/tpch10/lineitem/lineitem.1.parquet,1949706,104
GET,/tpch10/lineitem/lineitem.1.parquet,1942428,7401
GET,/tpch10/lineitem/lineitem.1.parquet,1948315,1695
GET,/tpch10/lineitem/lineitem.1.parquet,1942428,7688
GET,/tpch10/lineitem/lineitem.1.parquet,1949552,553
GET,/tpch10/lineitem/lineitem.1.parquet,1949814,562
GET,/tpch10/lineitem/lineitem.1.parquet,1950196,205
GET,/tpch10/lineitem/lineitem.1.parquet,1950249,200
GET,/tpch10/lineitem/lineitem.1.parquet,1950321,138
GET,/tpch10/lineitem/lineitem.1.parquet,1950314,152
GET,/tpch10/lineitem/lineitem.1.parquet,1950347,207
GET,/tpch10/lineitem/lineitem.1.parquet,1950838,116
GET,/tpch10/lineitem/lineitem.1.parquet,1950877,106
GET,/tpch10/lineitem/lineitem.1.parquet,1950859,127
GET,/tpch10/lineitem/lineitem.1.parquet,1950905,107
GET,/tpch10/lineitem/lineitem.1.parquet,1950946,109
GET,/tpch10/lineitem/lineitem.1.parquet,1950862,155
GET,/tpch10/lineitem/lineitem.1.parquet,1946805,4282
GET,/tpch10/lineitem/lineitem.1.parquet,1949819,1485
GET,/tpch10/lineitem/lineitem.1.parquet,1947461,3914
GET,/tpch10/lineitem/lineitem.1.parquet,1947558,3949
GET,/tpch10/lineitem/lineitem.1.parquet,1950865,1104
GET,/tpch10/lineitem/lineitem.1.parquet,1951358,715
GET,/tpch10/lineitem/lineitem.1.parquet,1951987,116
GET,/tpch10/lineitem/lineitem.1.parquet,1951996,118
GET,/tpch10/lineitem/lineitem.1.parquet,1949006,3116
GET,/tpch10/lineitem/lineitem.1.parquet,1948939,3218
GET,/tpch10/lineitem/lineitem.1.parquet,1944299,7890
GET,/tpch10/lineitem/lineitem.1.parquet,1944310,7921
GET,/tpch10/lineitem/lineitem.1.parquet,1944251,8034
GET,/tpch10/lineitem/lineitem.1.parquet,1949741,2546
GET,/tpch10/lineitem/lineitem.1.parquet,1947497,4841
GET,/tpch10/lineitem/lineitem.1.parquet,1950277,2083
GET,/tpch10/lineitem/lineitem.1.parquet,1952211,199
GET,/tpch10/lineitem/lineitem.1.parquet,1952348,92
GET,/tpch10/lineitem/lineitem.1.parquet,1952235,209
GET,/tpch10/lineitem/lineitem.1.parquet,1947483,4984
GET,/tpch10/lineitem/lineitem.1.parquet,1952400,101
GET,/tpch10/lineitem/lineitem.1.parquet,1950275,2450
GET,/tpch10/lineitem/lineitem.1.parquet,1947521,5228
GET,/tpch10/lineitem/lineitem.1.parquet,1952479,386
GET,/tpch10/lineitem/lineitem.1.parquet,1948931,3930
GET,/tpch10/lineitem/lineitem.1.parquet,1953007,132
GET,/tpch10/lineitem/lineitem.1.parquet,1952875,291
GET,/tpch10/lineitem/lineitem.1.parquet,1952899,275
GET,/tpch10/lineitem/lineitem.1.parquet,1953210,79
GET,/tpch10/lineitem/lineitem.1.parquet,1953635,97
GET,/tpch10/lineitem/lineitem.1.parquet,1953647,127
GET,/tpch10/lineitem/lineitem.1.parquet,1952288,212
GET,/tpch10/lineitem/lineitem.1.parquet,1953712,109
GET,/tpch10/lineitem/lineitem.1.parquet,1953806,85
GET,/tpch10/lineitem/lineitem.1.parquet,1952415,1878
GET,/tpch10/lineitem/lineitem.1.parquet,1953648,710
GET,/tpch10/lineitem/lineitem.1.parquet,1951456,2960
GET,/tpch10/lineitem/lineitem.1.parquet,1951466,2985
GET,/tpch10/lineitem/lineitem.1.parquet,1952882,1640
GET,/tpch10/lineitem/lineitem.1.parquet,1953869,669
GET,/tpch10/lineitem/lineitem.1.parquet,1953608,1247
GET,/tpch10/lineitem/lineitem.1.parquet,1952452,2415
GET,/tpch10/lineitem/lineitem.1.parquet,1954935,97
GET,/tpch10/lineitem/lineitem.1.parquet,1953208,1836
GET,/tpch10/lineitem/lineitem.1.parquet,1954915,121
GET,/tpch10/lineitem/lineitem.1.parquet,1953029,2027
GET,/tpch10/lineitem/lineitem.1.parquet,1949002,4127
GET,/tpch10/lineitem/lineitem.1.parquet,1953616,1442
GET,/tpch10/lineitem/lineitem.1.parquet,1952412,1882
GET,/tpch10/lineitem/lineitem.1.parquet,1955034,134
GET,/tpch10/lineitem/lineitem.1.parquet,1955080,93
GET,/tpch10/lineitem/lineitem.1.parquet,1954374,845
GET,/tpch10/lineitem/lineitem.1.parquet,1954356,872
GET,/tpch10/lineitem/lineitem.1.parquet,1952469,2072
GET,/tpch10/lineitem/lineitem.1.parquet,1955276,112
GET,/tpch10/lineitem/lineitem.1.parquet,1952891,2643
GET,/tpch10/lineitem/lineitem.1.parquet,1954922,763
GET,/tpch10/lineitem/lineitem.1.parquet,1952863,2818
GET,/tpch10/lineitem/lineitem.1.parquet,1954477,1256
GET,/tpch10/lineitem/lineitem.1.parquet,1953785,1972
GET,/tpch10/lineitem/lineitem.1.parquet,1955062,902
GET,/tpch10/lineitem/lineitem.1.parquet,1955981,139
GET,/tpch10/lineitem/lineitem.1.parquet,1955984,169
GET,/tpch10/lineitem/lineitem.1.parquet,1954501,2035
GET,/tpch10/lineitem/lineitem.1.parquet,1955181,1446
GET,/tpch10/lineitem/lineitem.1.parquet,1955537,1180
GET,/tpch10/lineitem/lineitem.1.parquet,1955272,1608
GET,/tpch10/lineitem/lineitem.1.parquet,1955384,1638
GET,/tpch10/lineitem/lineitem.1.parquet,1955870,1169
GET,/tpch10/lineitem/lineitem.1.parquet,1955299,1739
GET,/tpch10/lineitem/lineitem.1.parquet,1956435,788
GET,/tpch10/lineitem/lineitem.1.parquet,1956008,1513
GET,/tpch10/lineitem/lineitem.1.parquet,1956531,997
GET,/tpch10/lineitem/lineitem.1.parquet,1956752,827
GET,/tpch10/lineitem/lineitem.1.parquet,1957657,199
GET,/tpch10/lineitem/lineitem.1.parquet,1956855,1235
GET,/tpch10/lineitem/lineitem.1.parquet,1958607,104
GET,/tpch10/lineitem/lineitem.1.parquet,1958943,106
GET,/tpch10/lineitem/lineitem.1.parquet,1956014,3733
GET,/tpch10/lineitem/lineitem.1.parquet,1959280,872
GET,/tpch10/lineitem/lineitem.1.parquet,1960230,255
GET,/tpch10/lineitem/lineitem.1.parquet,1960449,220
GET,/tpch10/lineitem/lineitem.1.parquet,1960883,141
GET,/tpch10/lineitem/lineitem.1.parquet,1961243,95
GET,/tpch10/lineitem/lineitem.1.parquet,1961273,109
GET,/tpch10/lineitem/lineitem.1.parquet,1961285,241
GET,/tpch10/lineitem/lineitem.1.parquet,1961948,139
GET,/tpch10/lineitem/lineitem.1.parquet,1961632,465
GET,/tpch10/lineitem/lineitem.1.parquet,1962048,177
GET,/tpch10/lineitem/lineitem.1.parquet,1962023,494
GET,/tpch10/lineitem/lineitem.1.parquet,1962452,158
GET,/tpch10/lineitem/lineitem.1.parquet,1962564,139
GET,/tpch10/lineitem/lineitem.1.parquet,1961655,1068
GET,/tpch10/lineitem/lineitem.1.parquet,1962704,145
GET,/tpch10/lineitem/lineitem.1.parquet,1962879,333
GET,/tpch10/lineitem/lineitem.1.parquet,1963283,228
GET,/tpch10/lineitem/lineitem.1.parquet,1963382,955
GET,/tpch10/lineitem/lineitem.1.parquet,1963375,974
GET,/tpch10/lineitem/lineitem.1.parquet,1962508,1227
GET,/tpch10/lineitem/lineitem.1.parquet,1963539,1278
GET,/tpch10/lineitem/lineitem.1.parquet,1962932,1934
GET,/tpch10/lineitem/lineitem.1.parquet,1963385,1065
GET,/tpch10/lineitem/lineitem.1.parquet,1964389,530
GET,/tpch10/lineitem/lineitem.1.parquet,1964392,572
GET,/tpch10/lineitem/lineitem.1.parquet,1964890,96
GET,/tpch10/lineitem/lineitem.1.parquet,1964954,99
GET,/tpch10/lineitem/lineitem.1.parquet,1965368,301
GET,/tpch10/lineitem/lineitem.1.parquet,1965360,369
GET,/tpch10/lineitem/lineitem.1.parquet,1965617,164
GET,/tpch10/lineitem/lineitem.1.parquet,1965722,112
GET,/tpch10/lineitem/lineitem.1.parquet,1965712,125
GET,/tpch10/lineitem/lineitem.1.parquet,1965691,199
GET,/tpch10/lineitem/lineitem.1.parquet,1964380,1595
GET,/tpch10/lineitem/lineitem.1.parquet,1965853,153
GET,/tpch10/lineitem/lineitem.1.parquet,1966362,662
GET,/tpch10/lineitem/lineitem.1.parquet,1964891,1666
GET,/tpch10/lineitem/lineitem.1.parquet,1966088,1029
GET,/tpch10/lineitem/lineitem.1.parquet,1966367,1032
GET,/tpch10/lineitem/lineitem.1.parquet,1966061,1348
GET,/tpch10/lineitem/lineitem.1.parquet,1966349,1078
GET,/tpch10/lineitem/lineitem.1.parquet,1967174,433
GET,/tpch10/lineitem/lineitem.1.parquet,1967054,574
GET,/tpch10/lineitem/lineitem.1.parquet,1967589,209
GET,/tpch10/lineitem/lineitem.1.parquet,1966373,1450
GET,/tpch10/lineitem/lineitem.1.parquet,1967579,256
GET,/tpch10/lineitem/lineitem.1.parquet,1968118,102
GET,/tpch10/lineitem/lineitem.1.parquet,1968154,92
GET,/tpch10/lineitem/lineitem.1.parquet,1968247,352
GET,/tpch10/lineitem/lineitem.1.parquet,1967175,1339
GET,/tpch10/lineitem/lineitem.1.parquet,1968150,548
GET,/tpch10/lineitem/lineitem.1.parquet,1968133,220
GET,/tpch10/lineitem/lineitem.1.parquet,1968240,661
